country,year,pop,lifeExp,gdpPercap
Brunei,2012,407000,74,67800
Brunei,2022,449000,74.2,58700
Indonesia,2012,250000000,69.8,9020
Indonesia,2022,276000000,69.1,12400
Cambodia,2012,14800000,67.9,3020
Cambodia,2022,16800000,69.1,4530
Lao,2012,6510000,66.2,5430
Lao,2022,7530000,69.8,7950
Myanmar,2012,50200000,66.1,3190
Myanmar,2022,54200000,70.1,4120
Malaysia,2012,29700000,74.8,21700
Malaysia,2022,33900000,75.5,28300
Philippines,2012,98000000,70.7,6300
Philippines,2022,116000000,72.2,8580
Singapore,2012,5380000,83.3,82900
Singapore,2022,5980000,85.2,108000
Thailand,2012,69200000,77.7,15100
Thailand,2022,71700000,79.1,17500
Vietnam,2012,89300000,73.5,6950
Vietnam,2022,98200000,75,11400
