country,continent,year,pop,lifeExp,childMortPer1000,fertRate,gdpPercap
Afghanistan,Asia,1800,3280000,28.2,469,7,599
Afghanistan,Asia,1801,3280000,28.2,469,7,599
Afghanistan,Asia,1802,3280000,28.2,469,7,599
Afghanistan,Asia,1803,3280000,28.2,469,7,599
Afghanistan,Asia,1804,3280000,28.2,469,7,599
Afghanistan,Asia,1805,3280000,28.2,469,7,599
Afghanistan,Asia,1806,3280000,28.1,470,7,599
Afghanistan,Asia,1807,3280000,28.1,470,7,599
Afghanistan,Asia,1808,3280000,28.1,470,7,599
Afghanistan,Asia,1809,3280000,28.1,470,7,599
Afghanistan,Asia,1810,3280000,28.1,470,7,599
Afghanistan,Asia,1811,3280000,28.1,470,7,599
Afghanistan,Asia,1812,3280000,28.1,470,7,599
Afghanistan,Asia,1813,3280000,28.1,470,7,599
Afghanistan,Asia,1814,3280000,28.1,470,7,599
Afghanistan,Asia,1815,3280000,28.1,470,7,599
Afghanistan,Asia,1816,3280000,28.1,471,7,599
Afghanistan,Asia,1817,3280000,28,471,7,599
Afghanistan,Asia,1818,3280000,28,471,7,599
Afghanistan,Asia,1819,3280000,28,471,7,599
Afghanistan,Asia,1820,3290000,28,471,7,599
Afghanistan,Asia,1821,3300000,28,471,7,599
Afghanistan,Asia,1822,3310000,28,471,7,601
Afghanistan,Asia,1823,3320000,28,471,7,602
Afghanistan,Asia,1824,3340000,28,471,7,603
Afghanistan,Asia,1825,3350000,27.9,471,7,605
Afghanistan,Asia,1826,3370000,27.9,473,7,606
Afghanistan,Asia,1827,3380000,27.9,473,7,607
Afghanistan,Asia,1828,3400000,27.9,473,7,609
Afghanistan,Asia,1829,3410000,27.9,473,7,610
Afghanistan,Asia,1830,3430000,27.9,473,7,611
Afghanistan,Asia,1831,3450000,27.9,473,7,613
Afghanistan,Asia,1832,3460000,27.9,473,7,614
Afghanistan,Asia,1833,3480000,27.9,473,7,616
Afghanistan,Asia,1834,3490000,27.9,473,7,617
Afghanistan,Asia,1835,3510000,27.9,473,7,618
Afghanistan,Asia,1836,3520000,27.8,474,7,620
Afghanistan,Asia,1837,3540000,27.8,474,7,621
Afghanistan,Asia,1838,3550000,27.8,474,7,623
Afghanistan,Asia,1839,3570000,27.8,474,7,624
Afghanistan,Asia,1840,3590000,27.8,474,7,625
Afghanistan,Asia,1841,3600000,27.8,474,7,627
Afghanistan,Asia,1842,3620000,27.8,474,7,628
Afghanistan,Asia,1843,3630000,27.8,474,7,630
Afghanistan,Asia,1844,3650000,27.8,474,7,631
Afghanistan,Asia,1845,3670000,27.8,476,7,633
Afghanistan,Asia,1846,3680000,27.7,476,7,634
Afghanistan,Asia,1847,3700000,27.7,476,7,635
Afghanistan,Asia,1848,3720000,27.7,476,7,637
Afghanistan,Asia,1849,3730000,27.7,476,7,638
Afghanistan,Asia,1850,3750000,27.7,476,7,640
Afghanistan,Asia,1851,3770000,27.9,476,7,641
Afghanistan,Asia,1852,3780000,28,476,7,643
Afghanistan,Asia,1853,3800000,28.2,476,7,644
Afghanistan,Asia,1854,3820000,28.3,476,7,646
Afghanistan,Asia,1855,3840000,28.5,477,7,647
Afghanistan,Asia,1856,3850000,28.6,477,7,649
Afghanistan,Asia,1857,3870000,28.8,477,7,650
Afghanistan,Asia,1858,3890000,28.9,477,7,651
Afghanistan,Asia,1859,3900000,29.1,477,7,653
Afghanistan,Asia,1860,3920000,29.2,477,7,654
Afghanistan,Asia,1861,3940000,29.4,477,7,656
Afghanistan,Asia,1862,3960000,29.5,477,7,657
Afghanistan,Asia,1863,3980000,29.7,477,7,659
Afghanistan,Asia,1864,3990000,29.8,477,7,660
Afghanistan,Asia,1865,4010000,30,479,7,662
Afghanistan,Asia,1866,4030000.0000000005,30.1,479,7,663
Afghanistan,Asia,1867,4050000,30.3,479,7,665
Afghanistan,Asia,1868,4059999.9999999995,30.4,479,7,666
Afghanistan,Asia,1869,4080000,30.6,479,7,668
Afghanistan,Asia,1870,4099999.9999999995,30.7,479,7,669
Afghanistan,Asia,1871,4120000,30.9,479,7,671
Afghanistan,Asia,1872,4139999.9999999995,31,479,7,672
Afghanistan,Asia,1873,4160000,31.2,479,7,674
Afghanistan,Asia,1874,4170000,31.3,479,7,676
Afghanistan,Asia,1875,4190000.0000000005,31.5,480,7,677
Afghanistan,Asia,1876,4210000,31.6,480,7,679
Afghanistan,Asia,1877,4230000,31.8,480,7,680
Afghanistan,Asia,1878,4250000,31.9,480,7,682
Afghanistan,Asia,1879,4270000,32.1,480,7,683
Afghanistan,Asia,1880,4290000,32.3,480,7,685
Afghanistan,Asia,1881,4310000,32.4,480,7,685
Afghanistan,Asia,1882,4330000,32.5,480,7,693
Afghanistan,Asia,1883,4350000,32.7,480,7,702
Afghanistan,Asia,1884,4360000,32.9,480,7,711
Afghanistan,Asia,1885,4380000,33,481,7,720
Afghanistan,Asia,1886,4400000,33.1,481,7,729
Afghanistan,Asia,1887,4420000,33.3,481,7,738
Afghanistan,Asia,1888,4440000,33.4,481,7,748
Afghanistan,Asia,1889,4460000,33.6,481,7,757
Afghanistan,Asia,1890,4480000,33.7,481,7,767
Afghanistan,Asia,1891,4500000,33.9,481,7,776
Afghanistan,Asia,1892,4520000,34,481,7,786
